Rank|Dyck Word|Characters Number
319|(((()()))()()())|16
320|(((())(((())))))|16
321|(((())((()()))))|16
322|(((())((())())))|16
323|(((())((()))()))|16
324|(((())((())))())|16
325|(((())(()(()))))|16
326|(((())(()()())))|16
327|(((())(()())()))|16
328|(((())(()()))())|16
329|(((())(())(())))|16
330|(((())(())()()))|16
331|(((())(())())())|16
332|(((())(()))(()))|16
333|(((())(()))()())|16
334|(((())()((()))))|16
335|(((())()(()())))|16
336|(((())()(())()))|16
337|(((())()(()))())|16
338|(((())()()(())))|16
339|(((())()()()()))|16
340|(((())()()())())|16
341|(((())()())(()))|16
342|(((())()())()())|16
343|(((())())((())))|16
344|(((())())(()()))|16
345|(((())())(())())|16
346|(((())())()(()))|16
347|(((())())()()())|16
348|(((()))(((()))))|16
349|(((()))((()())))|16
350|(((()))((())()))|16
351|(((()))((()))())|16
352|(((()))(()(())))|16
353|(((()))(()()()))|16
354|(((()))(()())())|16
355|(((()))(())(()))|16
356|(((()))(())()())|16
357|(((()))()((())))|16
358|(((()))()(()()))|16
359|(((()))()(())())|16
360|(((()))()()(()))|16
361|(((()))()()()())|16
362|((()((((()))))))|16
363|((()(((()())))))|16
364|((()(((())()))))|16
365|((()(((()))())))|16
366|((()(((())))()))|16
367|((()(((()))))())|16
368|((()((()(())))))|16
369|((()((()()()))))|16
370|((()((()())())))|16
371|((()((()()))()))|16
372|((()((()())))())|16
373|((()((())(()))))|16
374|((()((())()())))|16
375|((()((())())()))|16
376|((()((())()))())|16
377|((()((()))(())))|16
378|((()((()))()()))|16
379|((()((()))())())|16
380|((()((())))(()))|16
381|((()((())))()())|16
382|((()(()((())))))|16
383|((()(()(()()))))|16
384|((()(()(())())))|16
385|((()(()(()))()))|16
386|((()(()(())))())|16
387|((()(()()(()))))|16
388|((()(()()()())))|16
389|((()(()()())()))|16
390|((()(()()()))())|16
391|((()(()())(())))|16
392|((()(()())()()))|16
393|((()(()())())())|16
394|((()(()()))(()))|16
395|((()(()()))()())|16
396|((()(())((()))))|16
397|((()(())(()())))|16
398|((()(())(())()))|16
399|((()(())(()))())|16
400|((()(())()(())))|16
401|((()(())()()()))|16
402|((()(())()())())|16
403|((()(())())(()))|16
404|((()(())())()())|16
405|((()(()))((())))|16
406|((()(()))(()()))|16
407|((()(()))(())())|16
408|((()(()))()(()))|16
409|((()(()))()()())|16
410|((()()(((())))))|16
411|((()()((()()))))|16
412|((()()((())())))|16
413|((()()((()))()))|16
414|((()()((())))())|16
415|((()()(()(()))))|16
416|((()()(()()())))|16
417|((()()(()())()))|16
418|((()()(()()))())|16
419|((()()(())(())))|16
420|((()()(())()()))|16
421|((()()(())())())|16
422|((()()(()))(()))|16
423|((()()(()))()())|16
424|((()()()((()))))|16
425|((()()()(()())))|16
426|((()()()(())()))|16
427|((()()()(()))())|16
428|((()()()()(())))|16
429|((()()()()()()))|16
430|((()()()()())())|16
431|((()()()())(()))|16
432|((()()()())()())|16
433|((()()())((())))|16
434|((()()())(()()))|16
435|((()()())(())())|16
436|((()()())()(()))|16
437|((()()())()()())|16
438|((()())(((()))))|16
439|((()())((()())))|16
440|((()())((())()))|16
441|((()())((()))())|16
442|((()())(()(())))|16
443|((()())(()()()))|16
444|((()())(()())())|16
445|((()())(())(()))|16
446|((()())(())()())|16
447|((()())()((())))|16
448|((()())()(()()))|16
449|((()())()(())())|16
450|((()())()()(()))|16
451|((()())()()()())|16
452|((())((((())))))|16
453|((())(((()()))))|16
454|((())(((())())))|16
455|((())(((()))()))|16
456|((())(((())))())|16
457|((())((()(()))))|16
458|((())((()()())))|16
459|((())((()())()))|16
460|((())((()()))())|16
461|((())((())(())))|16
462|((())((())()()))|16
463|((())((())())())|16
464|((())((()))(()))|16
465|((())((()))()())|16
466|((())(()((()))))|16
467|((())(()(()())))|16
468|((())(()(())()))|16
469|((())(()(()))())|16
470|((())(()()(())))|16
471|((())(()()()()))|16
472|((())(()()())())|16
473|((())(()())(()))|16
474|((())(()())()())|16
475|((())(())((())))|16
476|((())(())(()()))|16
477|((())(())(())())|16
478|((())(())()(()))|16
479|((())(())()()())|16
480|((())()(((()))))|16
481|((())()((()())))|16
482|((())()((())()))|16
483|((())()((()))())|16
484|((())()(()(())))|16
485|((())()(()()()))|16
486|((())()(()())())|16
487|((())()(())(()))|16
488|((())()(())()())|16
489|((())()()((())))|16
490|((())()()(()()))|16
491|((())()()(())())|16
492|((())()()()(()))|16
493|((())()()()()())|16
494|(()(((((()))))))|16
495|(()((((()())))))|16
496|(()((((())()))))|16
497|(()((((()))())))|16
498|(()((((())))()))|16
499|(()((((()))))())|16
500|(()(((()(())))))|16
501|(()(((()()()))))|16
502|(()(((()())())))|16
503|(()(((()()))()))|16
504|(()(((()())))())|16
505|(()(((())(()))))|16
506|(()(((())()())))|16
507|(()(((())())()))|16
508|(()(((())()))())|16
509|(()(((()))(())))|16
510|(()(((()))()()))|16
511|(()(((()))())())|16
512|(()(((())))(()))|16
513|(()(((())))()())|16
514|(()((()((())))))|16
515|(()((()(()()))))|16
516|(()((()(())())))|16
517|(()((()(()))()))|16
518|(()((()(())))())|16
519|(()((()()(()))))|16
520|(()((()()()())))|16
521|(()((()()())()))|16
522|(()((()()()))())|16
523|(()((()())(())))|16
524|(()((()())()()))|16
525|(()((()())())())|16
526|(()((()()))(()))|16
527|(()((()()))()())|16
528|(()((())((()))))|16
529|(()((())(()())))|16
530|(()((())(())()))|16
531|(()((())(()))())|16
532|(()((())()(())))|16
533|(()((())()()()))|16
534|(()((())()())())|16
535|(()((())())(()))|16
536|(()((())())()())|16
537|(()((()))((())))|16
538|(()((()))(()()))|16
539|(()((()))(())())|16
540|(()((()))()(()))|16
541|(()((()))()()())|16
542|(()(()(((())))))|16
543|(()(()((()()))))|16
544|(()(()((())())))|16
545|(()(()((()))()))|16
546|(()(()((())))())|16
547|(()(()(()(()))))|16
548|(()(()(()()())))|16
549|(()(()(()())()))|16
550|(()(()(()()))())|16
551|(()(()(())(())))|16
552|(()(()(())()()))|16
553|(()(()(())())())|16
554|(()(()(()))(()))|16
555|(()(()(()))()())|16
556|(()(()()((()))))|16
557|(()(()()(()())))|16
558|(()(()()(())()))|16
559|(()(()()(()))())|16
560|(()(()()()(())))|16
561|(()(()()()()()))|16
562|(()(()()()())())|16
563|(()(()()())(()))|16
564|(()(()()())()())|16
565|(()(()())((())))|16
566|(()(()())(()()))|16
567|(()(()())(())())|16
568|(()(()())()(()))|16
569|(()(()())()()())|16
570|(()(())(((()))))|16
571|(()(())((()())))|16
572|(()(())((())()))|16
573|(()(())((()))())|16
574|(()(())(()(())))|16
575|(()(())(()()()))|16
576|(()(())(()())())|16
577|(()(())(())(()))|16
578|(()(())(())()())|16
579|(()(())()((())))|16
580|(()(())()(()()))|16
581|(()(())()(())())|16
582|(()(())()()(()))|16
583|(()(())()()()())|16
584|(()()((((())))))|16
585|(()()(((()()))))|16
586|(()()(((())())))|16
587|(()()(((()))()))|16
588|(()()(((())))())|16
589|(()()((()(()))))|16
590|(()()((()()())))|16
591|(()()((()())()))|16
592|(()()((()()))())|16
593|(()()((())(())))|16
594|(()()((())()()))|16
595|(()()((())())())|16
596|(()()((()))(()))|16
597|(()()((()))()())|16
598|(()()(()((()))))|16
599|(()()(()(()())))|16
600|(()()(()(())()))|16
601|(()()(()(()))())|16
602|(()()(()()(())))|16
603|(()()(()()()()))|16
604|(()()(()()())())|16
605|(()()(()())(()))|16
606|(()()(()())()())|16
607|(()()(())((())))|16
608|(()()(())(()()))|16
609|(()()(())(())())|16
610|(()()(())()(()))|16
611|(()()(())()()())|16
612|(()()()(((()))))|16
613|(()()()((()())))|16
614|(()()()((())()))|16
615|(()()()((()))())|16
616|(()()()(()(())))|16
617|(()()()(()()()))|16
618|(()()()(()())())|16
619|(()()()(())(()))|16
620|(()()()(())()())|16
621|(()()()()((())))|16
622|(()()()()(()()))|16
623|(()()()()(())())|16
624|(()()()()()(()))|16
625|(()()()()()()())|16
626|((((((((()))))))))|18
627|(((((((()())))))))|18
628|(((((((())()))))))|18
629|(((((((()))())))))|18
630|(((((((())))()))))|18
631|(((((((()))))())))|18
632|(((((((())))))()))|18
633|(((((((()))))))())|18
634|((((((()(())))))))|18
635|((((((()()()))))))|18
636|((((((()())())))))|18
637|((((((()()))()))))|18
638|((((((()())))())))|18
639|((((((()()))))()))|18
640|((((((()())))))())|18
641|((((((())(()))))))|18
642|((((((())()())))))|18
643|((((((())())()))))|18
644|((((((())()))())))|18
645|((((((())())))()))|18
646|((((((())()))))())|18
647|((((((()))(())))))|18
648|((((((()))()()))))|18
649|((((((()))())())))|18
650|((((((()))()))()))|18
651|((((((()))())))())|18
652|((((((())))(()))))|18
653|((((((())))()())))|18
654|((((((())))())()))|18
655|((((((())))()))())|18
656|((((((()))))(())))|18
657|((((((()))))()()))|18
658|((((((()))))())())|18
659|((((((())))))(()))|18
660|((((((())))))()())|18
661|(((((()((())))))))|18
662|(((((()(()()))))))|18
663|(((((()(())())))))|18
664|(((((()(()))()))))|18
665|(((((()(())))())))|18
666|(((((()(()))))()))|18
667|(((((()(())))))())|18
668|(((((()()(()))))))|18
669|(((((()()()())))))|18
670|(((((()()())()))))|18
671|(((((()()()))())))|18
672|(((((()()())))()))|18
673|(((((()()()))))())|18
674|(((((()())(())))))|18
675|(((((()())()()))))|18
676|(((((()())())())))|18
677|(((((()())()))()))|18
678|(((((()())())))())|18
679|(((((()()))(()))))|18
680|(((((()()))()())))|18
681|(((((()()))())()))|18
682|(((((()()))()))())|18
683|(((((()())))(())))|18
684|(((((()())))()()))|18
685|(((((()())))())())|18
686|(((((()()))))(()))|18
687|(((((()()))))()())|18
688|(((((())((()))))))|18
689|(((((())(()())))))|18
690|(((((())(())()))))|18
691|(((((())(()))())))|18
692|(((((())(())))()))|18
693|(((((())(()))))())|18
694|(((((())()(())))))|18
695|(((((())()()()))))|18
696|(((((())()())())))|18
697|(((((())()()))()))|18
698|(((((())()())))())|18
699|(((((())())(()))))|18
700|(((((())())()())))|18
701|(((((())())())()))|18
702|(((((())())()))())|18
703|(((((())()))(())))|18
704|(((((())()))()()))|18
705|(((((())()))())())|18
706|(((((())())))(()))|18
707|(((((())())))()())|18
708|(((((()))((())))))|18
709|(((((()))(()()))))|18
710|(((((()))(())())))|18
711|(((((()))(()))()))|18
712|(((((()))(())))())|18
713|(((((()))()(()))))|18
714|(((((()))()()())))|18
715|(((((()))()())()))|18
716|(((((()))()()))())|18
717|(((((()))())(())))|18
718|(((((()))())()()))|18
719|(((((()))())())())|18
720|(((((()))()))(()))|18
721|(((((()))()))()())|18
722|(((((())))((()))))|18
723|(((((())))(()())))|18
724|(((((())))(())()))|18
725|(((((())))(()))())|18
726|(((((())))()(())))|18
727|(((((())))()()()))|18
728|(((((())))()())())|18
729|(((((())))())(()))|18
730|(((((())))())()())|18
731|(((((()))))((())))|18
732|(((((()))))(()()))|18
733|(((((()))))(())())|18
734|(((((()))))()(()))|18
735|(((((()))))()()())|18
736|((((()(((())))))))|18
737|((((()((()()))))))|18
738|((((()((())())))))|18
739|((((()((()))()))))|18
740|((((()((())))())))|18
741|((((()((()))))()))|18
742|((((()((())))))())|18
743|((((()(()(()))))))|18
744|((((()(()()())))))|18
745|((((()(()())()))))|18
746|((((()(()()))())))|18
747|((((()(()())))()))|18
748|((((()(()()))))())|18
749|((((()(())(())))))|18
750|((((()(())()()))))|18
751|((((()(())())())))|18
752|((((()(())()))()))|18
753|((((()(())())))())|18
754|((((()(()))(()))))|18
755|((((()(()))()())))|18
756|((((()(()))())()))|18
757|((((()(()))()))())|18
758|((((()(())))(())))|18
759|((((()(())))()()))|18
760|((((()(())))())())|18
761|((((()(()))))(()))|18
762|((((()(()))))()())|18
763|((((()()((()))))))|18
764|((((()()(()())))))|18
765|((((()()(())()))))|18
766|((((()()(()))())))|18
767|((((()()(())))()))|18
768|((((()()(()))))())|18
769|((((()()()(())))))|18
770|((((()()()()()))))|18
771|((((()()()())())))|18
772|((((()()()()))()))|18
773|((((()()()())))())|18
774|((((()()())(()))))|18
775|((((()()())()())))|18
776|((((()()())())()))|18
777|((((()()())()))())|18
778|((((()()()))(())))|18
779|((((()()()))()()))|18
780|((((()()()))())())|18
781|((((()()())))(()))|18
782|((((()()())))()())|18
783|((((()())((())))))|18
784|((((()())(()()))))|18
785|((((()())(())())))|18
786|((((()())(()))()))|18
787|((((()())(())))())|18
788|((((()())()(()))))|18
789|((((()())()()())))|18
790|((((()())()())()))|18
791|((((()())()()))())|18
792|((((()())())(())))|18
793|((((()())())()()))|18
794|((((()())())())())|18
795|((((()())()))(()))|18
796|((((()())()))()())|18
797|((((()()))((()))))|18
798|((((()()))(()())))|18
799|((((()()))(())()))|18
800|((((()()))(()))())|18
801|((((()()))()(())))|18
802|((((()()))()()()))|18
803|((((()()))()())())|18
804|((((()()))())(()))|18
805|((((()()))())()())|18
806|((((()())))((())))|18
807|((((()())))(()()))|18
808|((((()())))(())())|18
809|((((()())))()(()))|18
810|((((()())))()()())|18
811|((((())(((()))))))|18
812|((((())((()())))))|18
813|((((())((())()))))|18
814|((((())((()))())))|18
815|((((())((())))()))|18
816|((((())((()))))())|18
817|((((())(()(())))))|18
818|((((())(()()()))))|18
819|((((())(()())())))|18
820|((((())(()()))()))|18
821|((((())(()())))())|18
822|((((())(())(()))))|18
823|((((())(())()())))|18
824|((((())(())())()))|18
825|((((())(())()))())|18
826|((((())(()))(())))|18
827|((((())(()))()()))|18
828|((((())(()))())())|18
829|((((())(())))(()))|18
830|((((())(())))()())|18
831|((((())()((())))))|18
832|((((())()(()()))))|18
833|((((())()(())())))|18
834|((((())()(()))()))|18
835|((((())()(())))())|18
836|((((())()()(()))))|18
837|((((())()()()())))|18
838|((((())()()())()))|18
839|((((())()()()))())|18
840|((((())()())(())))|18
841|((((())()())()()))|18
842|((((())()())())())|18
843|((((())()()))(()))|18
844|((((())()()))()())|18
845|((((())())((()))))|18
846|((((())())(()())))|18
847|((((())())(())()))|18
848|((((())())(()))())|18
849|((((())())()(())))|18
850|((((())())()()()))|18
851|((((())())()())())|18
852|((((())())())(()))|18
853|((((())())())()())|18
854|((((())()))((())))|18
855|((((())()))(()()))|18
856|((((())()))(())())|18
857|((((())()))()(()))|18
858|((((())()))()()())|18
859|((((()))(((())))))|18
860|((((()))((()()))))|18
861|((((()))((())())))|18
862|((((()))((()))()))|18
863|((((()))((())))())|18
864|((((()))(()(()))))|18
865|((((()))(()()())))|18
866|((((()))(()())()))|18
867|((((()))(()()))())|18
868|((((()))(())(())))|18
869|((((()))(())()()))|18
870|((((()))(())())())|18
871|((((()))(()))(()))|18
872|((((()))(()))()())|18
873|((((()))()((()))))|18
874|((((()))()(()())))|18
875|((((()))()(())()))|18
876|((((()))()(()))())|18
877|((((()))()()(())))|18
878|((((()))()()()()))|18
879|((((()))()()())())|18
880|((((()))()())(()))|18
881|((((()))()())()())|18
882|((((()))())((())))|18
883|((((()))())(()()))|18
884|((((()))())(())())|18
885|((((()))())()(()))|18
886|((((()))())()()())|18
887|((((())))(((()))))|18
888|((((())))((()())))|18
889|((((())))((())()))|18
890|((((())))((()))())|18
891|((((())))(()(())))|18
892|((((())))(()()()))|18
893|((((())))(()())())|18
894|((((())))(())(()))|18
895|((((())))(())()())|18
896|((((())))()((())))|18
897|((((())))()(()()))|18
898|((((())))()(())())|18
899|((((())))()()(()))|18
900|((((())))()()()())|18
901|(((()((((())))))))|18
902|(((()(((()()))))))|18
903|(((()(((())())))))|18
904|(((()(((()))()))))|18
905|(((()(((())))())))|18
906|(((()(((()))))()))|18
907|(((()(((())))))())|18
908|(((()((()(()))))))|18
909|(((()((()()())))))|18
910|(((()((()())()))))|18
911|(((()((()()))())))|18
912|(((()((()())))()))|18
913|(((()((()()))))())|18
914|(((()((())(())))))|18
915|(((()((())()()))))|18
916|(((()((())())())))|18
917|(((()((())()))()))|18
918|(((()((())())))())|18
919|(((()((()))(()))))|18
920|(((()((()))()())))|18
921|(((()((()))())()))|18
922|(((()((()))()))())|18
923|(((()((())))(())))|18
924|(((()((())))()()))|18
925|(((()((())))())())|18
926|(((()((()))))(()))|18
927|(((()((()))))()())|18
928|(((()(()((()))))))|18
929|(((()(()(()())))))|18
930|(((()(()(())()))))|18
931|(((()(()(()))())))|18
932|(((()(()(())))()))|18
933|(((()(()(()))))())|18
934|(((()(()()(())))))|18
935|(((()(()()()()))))|18
936|(((()(()()())())))|18
937|(((()(()()()))()))|18
938|(((()(()()())))())|18
939|(((()(()())(()))))|18
940|(((()(()())()())))|18
941|(((()(()())())()))|18
942|(((()(()())()))())|18
943|(((()(()()))(())))|18
944|(((()(()()))()()))|18
945|(((()(()()))())())|18
946|(((()(()())))(()))|18
947|(((()(()())))()())|18
948|(((()(())((())))))|18
949|(((()(())(()()))))|18
950|(((()(())(())())))|18
951|(((()(())(()))()))|18
952|(((()(())(())))())|18
953|(((()(())()(()))))|18
954|(((()(())()()())))|18
955|(((()(())()())()))|18
956|(((()(())()()))())|18
957|(((()(())())(())))|18
958|(((()(())())()()))|18
959|(((()(())())())())|18
960|(((()(())()))(()))|18
961|(((()(())()))()())|18
962|(((()(()))((()))))|18
963|(((()(()))(()())))|18
964|(((()(()))(())()))|18
965|(((()(()))(()))())|18
966|(((()(()))()(())))|18
967|(((()(()))()()()))|18
968|(((()(()))()())())|18
969|(((()(()))())(()))|18
970|(((()(()))())()())|18
971|(((()(())))((())))|18
972|(((()(())))(()()))|18
973|(((()(())))(())())|18
974|(((()(())))()(()))|18
975|(((()(())))()()())|18
976|(((()()(((()))))))|18
977|(((()()((()())))))|18
978|(((()()((())()))))|18
979|(((()()((()))())))|18
980|(((()()((())))()))|18
981|(((()()((()))))())|18
982|(((()()(()(())))))|18
983|(((()()(()()()))))|18
984|(((()()(()())())))|18
985|(((()()(()()))()))|18
986|(((()()(()())))())|18
987|(((()()(())(()))))|18
988|(((()()(())()())))|18
989|(((()()(())())()))|18
990|(((()()(())()))())|18
991|(((()()(()))(())))|18
992|(((()()(()))()()))|18
993|(((()()(()))())())|18
994|(((()()(())))(()))|18
995|(((()()(())))()())|18
996|(((()()()((())))))|18
997|(((()()()(()()))))|18
998|(((()()()(())())))|18
999|(((()()()(()))()))|18
1000|(((()()()(())))())|18
1001|(((()()()()(()))))|18
1002|(((()()()()()())))|18
1003|(((()()()()())()))|18
1004|(((()()()()()))())|18
1005|(((()()()())(())))|18
1006|(((()()()())()()))|18
1007|(((()()()())())())|18
1008|(((()()()()))(()))|18
1009|(((()()()()))()())|18
1010|(((()()())((()))))|18
1011|(((()()())(()())))|18
1012|(((()()())(())()))|18
1013|(((()()())(()))())|18
1014|(((()()())()(())))|18
1015|(((()()())()()()))|18
1016|(((()()())()())())|18
1017|(((()()())())(()))|18
1018|(((()()())())()())|18
1019|(((()()()))((())))|18
1020|(((()()()))(()()))|18
1021|(((()()()))(())())|18
1022|(((()()()))()(()))|18
1023|(((()()()))()()())|18
1024|(((()())(((())))))|18
1025|(((()())((()()))))|18
1026|(((()())((())())))|18
1027|(((()())((()))()))|18
1028|(((()())((())))())|18
1029|(((()())(()(()))))|18
1030|(((()())(()()())))|18
1031|(((()())(()())()))|18
1032|(((()())(()()))())|18
1033|(((()())(())(())))|18
1034|(((()())(())()()))|18
1035|(((()())(())())())|18
1036|(((()())(()))(()))|18
1037|(((()())(()))()())|18
1038|(((()())()((()))))|18
1039|(((()())()(()())))|18
1040|(((()())()(())()))|18
1041|(((()())()(()))())|18
1042|(((()())()()(())))|18
1043|(((()())()()()()))|18
1044|(((()())()()())())|18
1045|(((()())()())(()))|18
1046|(((()())()())()())|18
1047|(((()())())((())))|18
1048|(((()())())(()()))|18
1049|(((()())())(())())|18
1050|(((()())())()(()))|18
1051|(((()())())()()())|18
1052|(((()()))(((()))))|18
1053|(((()()))((()())))|18
1054|(((()()))((())()))|18
1055|(((()()))((()))())|18
1056|(((()()))(()(())))|18
1057|(((()()))(()()()))|18
1058|(((()()))(()())())|18
1059|(((()()))(())(()))|18
1060|(((()()))(())()())|18
1061|(((()()))()((())))|18
1062|(((()()))()(()()))|18
